colGPA,male,gradMI,campus
3.0,F,Michigan,Fuera
3.400000095367432,F,Michigan,Fuera
3.0,F,Michigan,Fuera
3.5,M,Otro,En campus
3.5999999046325684,F,Michigan,Fuera
3.0,M,Otro,En campus
2.700000047683716,F,Michigan,Fuera
2.700000047683716,F,Michigan,Fuera
2.700000047683716,F,Michigan,Fuera
3.799999952316284,F,Michigan,Fuera
2.799999952316284,M,Michigan,Fuera
2.900000095367432,F,Michigan,En campus
3.0,F,Michigan,En campus
2.900000095367432,M,Otro,En campus
3.299999952316284,M,Michigan,Fuera
2.5999999046325684,M,Michigan,Fuera
2.5,M,Michigan,Fuera
2.5,M,Otro,Fuera
2.400000095367432,M,Otro,Fuera
3.5999999046325684,M,Michigan,Fuera
2.5999999046325684,F,Michigan,Fuera
2.700000047683716,M,Michigan,Fuera
2.900000095367432,F,Otro,Fuera
3.0,F,Michigan,En campus
3.299999952316284,M,Michigan,Fuera
3.0999999046325684,F,Michigan,Fuera
3.0,F,Michigan,Fuera
3.200000047683716,F,Michigan,Fuera
3.0,F,Michigan,Fuera
3.400000095367432,F,Michigan,Fuera
2.900000095367432,M,Michigan,Fuera
3.5,F,Michigan,Fuera
3.700000047683716,M,Michigan,Fuera
3.5,F,Michigan,Fuera
2.799999952316284,M,Michigan,Fuera
2.5,F,Michigan,En campus
3.0999999046325684,F,Michigan,Fuera
3.5,M,Michigan,Fuera
3.400000095367432,F,Michigan,Fuera
3.5,F,Michigan,Fuera
2.5999999046325684,M,Otro,Fuera
2.799999952316284,M,Michigan,Fuera
2.5999999046325684,F,Michigan,Fuera
3.5,M,Michigan,Fuera
4.0,F,Michigan,Fuera
3.799999952316284,F,Michigan,Fuera
2.799999952316284,M,Michigan,Fuera
3.5,F,Michigan,Fuera
3.0,F,Michigan,Fuera
2.5999999046325684,M,Michigan,Fuera
3.0,F,Michigan,Fuera
3.700000047683716,F,Michigan,Fuera
3.0,F,Michigan,Fuera
2.900000095367432,M,Michigan,Fuera
2.5999999046325684,M,Michigan,En campus
3.0,M,Michigan,Fuera
3.299999952316284,M,Michigan,Fuera
2.700000047683716,M,Michigan,Fuera
3.0,M,Michigan,Fuera
3.200000047683716,F,Michigan,Fuera
2.700000047683716,M,Michigan,Fuera
3.5999999046325684,F,Michigan,En campus
2.400000095367432,F,Michigan,Fuera
2.900000095367432,F,Michigan,Fuera
3.299999952316284,F,Michigan,En campus
3.5,M,Michigan,Fuera
3.0,M,Michigan,Fuera
3.0,M,Michigan,Fuera
2.799999952316284,F,Otro,Fuera
2.900000095367432,M,Michigan,En campus
3.799999952316284,M,Michigan,Fuera
2.5,F,Michigan,Fuera
3.0,M,Michigan,Fuera
3.200000047683716,F,Michigan,Fuera
2.200000047683716,M,Otro,En campus
3.400000095367432,M,Michigan,Fuera
2.900000095367432,M,Michigan,En campus
3.700000047683716,M,Michigan,Fuera
2.900000095367432,M,Otro,En campus
2.799999952316284,M,Otro,En campus
3.200000047683716,M,Michigan,Fuera
3.400000095367432,F,Otro,Fuera
3.0,F,Michigan,Fuera
2.5,F,Michigan,Fuera
3.5,F,Michigan,Fuera
3.0999999046325684,M,Otro,Fuera
2.799999952316284,M,Michigan,Fuera
2.900000095367432,F,Michigan,Fuera
2.900000095367432,M,Michigan,En campus
3.400000095367432,F,Michigan,Fuera
3.400000095367432,M,Michigan,En campus
3.5999999046325684,M,Michigan,Fuera
3.200000047683716,F,Michigan,Fuera
3.200000047683716,F,Otro,Fuera
2.799999952316284,F,Otro,Fuera
3.0999999046325684,F,Michigan,Fuera
2.799999952316284,M,Michigan,En campus
3.400000095367432,M,Michigan,Fuera
2.700000047683716,M,Michigan,Fuera
3.0,F,Michigan,Fuera
2.5,M,Michigan,Fuera
2.5,M,Michigan,Fuera
2.700000047683716,F,Michigan,Fuera
3.5999999046325684,M,Michigan,Fuera
2.900000095367432,F,Michigan,Fuera
2.799999952316284,F,Michigan,Fuera
3.900000095367432,M,Michigan,Fuera
2.799999952316284,M,Michigan,Fuera
3.900000095367432,F,Michigan,Fuera
3.200000047683716,M,Michigan,Fuera
3.299999952316284,M,Otro,Fuera
3.299999952316284,M,Michigan,Fuera
3.200000047683716,F,Michigan,En campus
3.0999999046325684,M,Michigan,En campus
3.0,M,Michigan,Fuera
3.400000095367432,M,Michigan,Fuera
3.0999999046325684,M,Michigan,Fuera
3.200000047683716,F,Michigan,Fuera
3.299999952316284,M,Michigan,Fuera
3.0,F,Michigan,Fuera
2.799999952316284,F,Michigan,Fuera
2.799999952316284,M,Michigan,Fuera
2.700000047683716,M,Michigan,Fuera
2.5999999046325684,F,Michigan,En campus
2.900000095367432,M,Otro,Fuera
3.0,F,Michigan,Fuera
3.0,F,Michigan,Fuera
2.900000095367432,F,Otro,Fuera
3.299999952316284,F,Michigan,Fuera
2.700000047683716,F,Michigan,Fuera
3.0,M,Michigan,Fuera
2.900000095367432,M,Michigan,Fuera
3.799999952316284,M,Michigan,En campus
2.900000095367432,M,Michigan,En campus
3.0,M,Michigan,Fuera
3.200000047683716,M,Michigan,Fuera
3.0,F,Michigan,Fuera
2.299999952316284,M,Michigan,Fuera
2.799999952316284,F,Michigan,Fuera
3.400000095367432,M,Michigan,En campus
2.799999952316284,M,Michigan,Fuera
